episode,total_reward,steps,success,collision,timeout,distance_to_target,parking_accuracy,exploration_rate,timestamp
75,-102.25084259959232,113,False,True,False,9.669948880926475,0.0,0.01,1748939705.0930736
76,-118.39137232643112,200,False,False,True,30.093930568369515,0.0,0.01,1748939706.7344878
77,-55.376777659012724,137,False,True,False,17.07947667962772,0.0,0.01,1748939707.678183
78,-26.84101990715356,200,False,False,True,11.854809263575573,0.0,0.01,1748939709.2452214
79,-24.021827721864334,200,False,False,True,15.240731255540162,0.0,0.01,1748939710.8301399
80,-56.086791989845075,200,False,False,True,27.39336005230948,0.0,0.01,1748939712.3292718
81,-74.3301106806879,94,False,True,False,9.996139936655963,0.0,0.01,1748939714.1410623
82,-95.87888695632545,24,False,True,False,15.31853048658408,0.0,0.01,1748939714.3229923
83,8.926081127563384,200,False,False,True,7.619794106422184,0.0,0.01,1748939715.9629135
84,53.14756016110147,200,False,False,True,12.512505686749204,0.0,0.01,1748939717.5462062
85,216.41882183949573,200,False,False,True,3.7856967032545574,0.0,0.01,1748939719.1515734
86,-90.60433051782624,200,False,False,True,25.425974619931768,0.0,0.01,1748939720.7456322
87,-113.80609620148027,125,False,True,False,18.072436808915047,0.0,0.01,1748939721.7647104
88,-91.26601475750564,35,False,True,False,14.714226193937924,0.0,0.01,1748939722.0500875
89,-81.07129154474859,57,False,True,False,24.968142564073993,0.0,0.01,1748939722.4508758
90,-110.69384146313003,85,False,True,False,18.0909619374362,0.0,0.01,1748939723.1711657
91,-67.68773331177249,73,False,True,False,7.38370301920244,0.0,0.01,1748939723.7773206
92,7.167137128624962,200,False,False,True,12.165393980625623,0.0,0.01,1748939725.3114507
93,-18.938245650047953,200,False,False,True,10.900511199978125,0.0,0.01,1748939726.763969
94,-138.22747027909796,141,False,True,False,33.497535049213084,0.0,0.01,1748939727.7990203
95,89.0337854093998,200,False,False,True,27.53290662224888,0.0,0.01,1748939729.2904966
96,-121.75317591780735,115,False,True,False,24.530579880872313,0.0,0.01,1748939730.279031
97,-95.53647984312441,23,False,True,False,17.842947938413992,0.0,0.01,1748939730.459702
98,-108.28783224694185,200,False,False,True,33.88180323464679,0.0,0.01,1748939731.891374
99,-68.22754038485145,200,False,False,True,26.142917544781437,0.0,0.01,1748939733.3272796
100,-76.66170810361422,128,False,True,False,10.718576625471288,0.0,0.01,1748939734.1665812
101,-70.5448107336542,200,False,False,True,22.31998013484693,0.0,0.01,1748939736.61949
102,-99.72708818693707,23,False,True,False,18.40774055869748,0.0,0.01,1748939736.7708685
103,13.117940087732833,137,False,True,False,14.37275497770515,0.0,0.01,1748939737.7779155
104,-71.98942427968753,200,False,False,True,31.856305134906528,0.0,0.01,1748939739.1486473
105,48.30828126403612,200,False,False,True,12.441938433052275,0.0,0.01,1748939740.6259372
106,-85.81785510017576,132,False,True,False,12.111055915182542,0.0,0.01,1748939741.485009
107,-85.0579304972884,200,False,False,True,19.607560504455524,0.0,0.01,1748939742.786442
108,28.978404380384987,200,False,False,True,13.361161800815788,0.0,0.01,1748939744.0987859
109,-80.76672561053375,200,False,False,True,26.15806773582433,0.0,0.01,1748939745.4473197
110,-97.17383647308124,56,False,True,False,10.596221958031721,0.0,0.01,1748939745.816465
111,85.21830172844876,200,False,False,True,9.486927348754485,0.0,0.01,1748939747.197414
112,106.42297558867973,200,False,False,True,4.647170477077182,0.0,0.01,1748939748.65821
113,-118.72515628767061,84,False,True,False,24.847084239932983,0.0,0.01,1748939749.3223262
114,15.053009006186555,200,False,False,True,19.14481824895195,0.0,0.01,1748939750.987488
115,-62.38704585669718,200,False,False,True,18.617814522801897,0.0,0.01,1748939752.5884092
116,-99.56820441387887,13,False,True,False,20.69666778344233,0.0,0.01,1748939752.6920173
117,-81.63152226730207,200,False,False,True,31.97677713791291,0.0,0.01,1748939754.2626007
118,118.09712971920327,200,False,False,True,3.2320991804384116,0.0,0.01,1748939755.833154
119,223.19017081361108,200,False,False,True,10.216703813405646,0.0,0.01,1748939757.1676464
120,12.313029286459216,200,False,False,True,12.903622459413313,0.0,0.01,1748939758.4660892
121,58.169508450720784,200,False,False,True,10.03662711987745,0.0,0.01,1748939760.8873763
122,-114.11410022532401,45,False,True,False,22.704574363911803,0.0,0.01,1748939761.1811383
